"R2m","R2c","p","n_0","n_1","n_all","phase","current_variable","current_answer_binary","propPred"
0.019,0.194,0.033,1162,2384,3546,"detect01","avrec_rms.3bin.before.rt","hit_0_miss_1",0.705583756345178
0.06,0.254,0.009,920,2200,3120,"detect01","GS1.trace.rms.3bin.before.rt","hit_0_miss_1",0.734615384615385
0.006,0.218,0.434,607,1458,2065,"detect01","SGS1.trace.rms.3bin.before.rt","hit_0_miss_1",0.738983050847458
0.095,0.275,0,957,2200,3157,"detect01","Va.trace.rms.3bin.before.rt","hit_0_miss_1",0.728539752929997
0.067,0.298,0.021,904,2164,3068,"detect01","Vb.trace.rms.3bin.before.rt","hit_0_miss_1",0.73728813559322
0.059,0.229,0.002,802,1919,2721,"detect01","VI.trace.rms.3bin.before.rt","hit_0_miss_1",0.727306137449467
0.041,0.185,0.032,1052,1316,2368,"discr01","avrec_rms.3bin.before.rt","hit_0_miss_1",0.619087837837838
0,0.063,0.89,787,1185,1972,"discr01","GS1.trace.rms.3bin.before.rt","hit_0_miss_1",0.612576064908722
0.003,0.22,0.514,344,673,1017,"discr01","SGS1.trace.rms.3bin.before.rt","hit_0_miss_1",0.684365781710914
0,0.107,0.783,862,1233,2095,"discr01","Va.trace.rms.3bin.before.rt","hit_0_miss_1",0.598568019093079
0,0.133,0.841,885,1236,2121,"discr01","Vb.trace.rms.3bin.before.rt","hit_0_miss_1",0.605374823196605
0.001,0.191,0.789,740,1075,1815,"discr01","VI.trace.rms.3bin.before.rt","hit_0_miss_1",0.613223140495868
0.06,0.207,0.002,188,2610,2798,"discr01","avrec_rms.3bin.before.rt","false_alarm_below_6_0_cr_1",0.932809149392423
0.075,0.262,0.013,138,2447,2585,"discr01","GS1.trace.rms.3bin.before.rt","false_alarm_below_6_0_cr_1",0.947775628626692
0.097,0.406,0.001,74,1340,1414,"discr01","SGS1.trace.rms.3bin.before.rt","false_alarm_below_6_0_cr_1",0.947666195190948
0.066,0.226,0.002,166,2504,2670,"discr01","Va.trace.rms.3bin.before.rt","false_alarm_below_6_0_cr_1",0.937453183520599
0.077,0.183,0,162,2519,2681,"discr01","Vb.trace.rms.3bin.before.rt","false_alarm_below_6_0_cr_1",0.939574785527788
0.056,0.186,0,132,2153,2285,"discr01","VI.trace.rms.3bin.before.rt","false_alarm_below_6_0_cr_1",0.942231947483589
0.042,0.153,0.009,1052,2610,3662,"discr01","avrec_rms.3bin.before.rt","hit_0_cr_1",0.719279082468596
0.108,0.178,0,787,2447,3234,"discr01","GS1.trace.rms.3bin.before.rt","hit_0_cr_1",0.758194186765615
0.083,0.136,0,344,1340,1684,"discr01","SGS1.trace.rms.3bin.before.rt","hit_0_cr_1",0.798693586698337
0.082,0.151,0,862,2504,3366,"discr01","Va.trace.rms.3bin.before.rt","hit_0_cr_1",0.748366013071895
0.104,0.175,0,885,2519,3404,"discr01","Vb.trace.rms.3bin.before.rt","hit_0_cr_1",0.749412455934195
0.082,0.139,0,740,2153,2893,"discr01","VI.trace.rms.3bin.before.rt","hit_0_cr_1",0.748703767715175
0.005,0.182,0.396,188,1316,1504,"discr01","avrec_rms.3bin.before.rt","false_alarm_below_6_0_miss_1",0.875
0.001,0.168,0,138,1185,1323,"discr01","GS1.trace.rms.3bin.before.rt","false_alarm_below_6_0_miss_1",0.895691609977324
0.011,0.171,0.128,74,673,747,"discr01","SGS1.trace.rms.3bin.before.rt","false_alarm_below_6_0_miss_1",0.900937081659973
0.001,0.195,0.756,166,1233,1399,"discr01","Va.trace.rms.3bin.before.rt","false_alarm_below_6_0_miss_1",0.881343817012152
0.001,0.108,0.498,162,1236,1398,"discr01","Vb.trace.rms.3bin.before.rt","false_alarm_below_6_0_miss_1",0.88412017167382
0.003,0.121,0.371,132,1075,1207,"discr01","VI.trace.rms.3bin.before.rt","false_alarm_below_6_0_miss_1",0.890637945318973
